beer,user,rating
2137,ColForbinBC,3.25
6518,ColForbinBC,4.13
25852,ColForbinBC,4.28
89174,ColForbinBC,4.25
2392,ColForbinBC,3.87
7520,ColForbinBC,4.32
36333,ColForbinBC,4.25
2671,ColForbinBC,3.88
2751,ColForbinBC,4.35
132073,ColForbinBC,4.16
14916,ColForbinBC,4.4
3457,ColForbinBC,4.3
7284,ColForbinBC,4.2
3916,ColForbinBC,4.28
3951,ColForbinBC,3.83
3968,ColForbinBC,3.97
4073,ColForbinBC,3.77
4083,ColForbinBC,4.17
4109,ColForbinBC,3.55
4202,ColForbinBC,3.22
5057,ColForbinBC,4.33
9478,ColForbinBC,4.2
30420,ColForbinBC,4.33
116648,ColForbinBC,4.2
5385,ColForbinBC,3.53
5441,ColForbinBC,4.1
48139,ColForbinBC,3.63
40058,ColForbinBC,4.37
6260,ColForbinBC,3.9
6301,ColForbinBC,4.1
6533,ColForbinBC,3.96
6549,ColForbinBC,4.1
38470,ColForbinBC,3.95
202078,ColForbinBC,4.25
7348,ColForbinBC,4.28
7531,ColForbinBC,3.97
57747,ColForbinBC,4.74
7971,ColForbinBC,4.7
146788,ColForbinBC,3.79
29619,ColForbinBC,4.64
8919,ColForbinBC,3.91
150877,ColForbinBC,4.12
8951,ColForbinBC,4.03
34146,ColForbinBC,4.5
9086,ColForbinBC,4.02
182256,ColForbinBC,3.73
34483,ColForbinBC,4.3
9474,ColForbinBC,4.47
10325,ColForbinBC,4.32
10672,ColForbinBC,4.67
11757,ColForbinBC,4.5
11922,ColForbinBC,4.2
12013,ColForbinBC,4.27
88880,ColForbinBC,4.29
12770,ColForbinBC,4.35
14712,ColForbinBC,3.73
30282,ColForbinBC,4.27
17538,ColForbinBC,4.0
15813,ColForbinBC,4.03
15881,ColForbinBC,4.4
16062,ColForbinBC,4.02
16074,ColForbinBC,4.32
16115,ColForbinBC,4.12
22352,ColForbinBC,4.28
16814,ColForbinBC,4.79
20445,ColForbinBC,3.57
61062,ColForbinBC,4.73
57908,ColForbinBC,4.2
109789,ColForbinBC,4.02
17900,ColForbinBC,4.38
211516,ColForbinBC,4.41
71969,ColForbinBC,4.2
18862,ColForbinBC,4.37
19216,ColForbinBC,4.37
19589,ColForbinBC,3.6
28877,ColForbinBC,4.1
20478,ColForbinBC,4.22
20781,ColForbinBC,2.73
20931,ColForbinBC,4.58
88949,ColForbinBC,4.64
29209,ColForbinBC,4.2
21822,ColForbinBC,4.52
37265,ColForbinBC,4.47
21950,ColForbinBC,4.1
22227,ColForbinBC,4.67
22790,ColForbinBC,4.4
77299,ColForbinBC,3.79
46363,ColForbinBC,4.2
46987,ColForbinBC,4.3
24905,ColForbinBC,4.29
168971,ColForbinBC,4.13
41121,ColForbinBC,4.42
25755,ColForbinBC,4.02
84596,ColForbinBC,4.23
48582,ColForbinBC,4.2
27604,ColForbinBC,4.17
48434,ColForbinBC,3.98
62761,ColForbinBC,4.12
33832,ColForbinBC,4.2
155168,ColForbinBC,4.35
80291,ColForbinBC,4.08
35738,ColForbinBC,4.12
51512,ColForbinBC,3.79
82250,ColForbinBC,4.32
89345,ColForbinBC,3.98
55862,ColForbinBC,3.74
39286,ColForbinBC,4.03
75446,ColForbinBC,4.15
197183,ColForbinBC,3.93
133621,ColForbinBC,4.48
35625,ColForbinBC,4.28
51480,ColForbinBC,3.88
35720,ColForbinBC,3.83
73618,ColForbinBC,4.25
42723,ColForbinBC,4.07
50176,ColForbinBC,4.03
181572,ColForbinBC,4.14
107406,ColForbinBC,4.21
64228,ColForbinBC,4.61
43687,ColForbinBC,4.0
56973,ColForbinBC,4.13
45653,ColForbinBC,4.47
94350,ColForbinBC,4.41
47658,secondtooth,4.85
50697,secondtooth,3.99
55939,secondtooth,3.98
74986,secondtooth,3.66
76816,secondtooth,4.23
100217,secondtooth,3.5
178740,secondtooth,4.05
195,secondtooth,3.8
5328,secondtooth,3.85
53453,secondtooth,3.78
1493,secondtooth,4.05
6,secondtooth,3.65
2264,secondtooth,4.06
30,secondtooth,4.17
31,secondtooth,3.59
33,secondtooth,4.17
34,secondtooth,4.3
39,secondtooth,4.44
63,secondtooth,4.33
61,secondtooth,3.53
65,secondtooth,2.33
73,secondtooth,3.85
27800,secondtooth,3.92
38394,secondtooth,4.18
16403,secondtooth,3.82
88,secondtooth,4.94
90,secondtooth,4.38
92,secondtooth,4.32
99,secondtooth,3.85
101,secondtooth,3.83
102,secondtooth,3.53
5653,secondtooth,4.01
104,secondtooth,4.08
108,secondtooth,3.77
129,secondtooth,4.42
131,secondtooth,4.2
141,secondtooth,4.26
147,secondtooth,3.75
148,secondtooth,4.35
155,secondtooth,4.39
28577,secondtooth,3.89
156,secondtooth,4.47
52855,secondtooth,3.95
179482,secondtooth,4.33
184,secondtooth,4.24
197,secondtooth,4.12
198,secondtooth,4.06
205,secondtooth,3.66
34688,secondtooth,3.72
449,secondtooth,3.53
225,secondtooth,3.95
226,secondtooth,4.2
228,secondtooth,4.03
229,secondtooth,4.12
246,secondtooth,2.26
248,secondtooth,3.33
276,secondtooth,4.06
279,secondtooth,4.03
283,secondtooth,4.33
162643,secondtooth,3.81
299,secondtooth,3.55
311,secondtooth,3.4
42533,secondtooth,4.28
332,secondtooth,1.33
35732,secondtooth,3.94
353,secondtooth,3.47
355,secondtooth,3.91
386,secondtooth,4.03
387,secondtooth,3.86
402,secondtooth,4.24
7463,secondtooth,4.48
412,secondtooth,4.37
1798,secondtooth,2.89
571,secondtooth,3.38
576,secondtooth,3.42
577,secondtooth,3.71
580,secondtooth,1.66
582,secondtooth,3.53
593,secondtooth,4.2
916,secondtooth,4.24
607,secondtooth,4.1
611,secondtooth,3.62
47434,secondtooth,4.05
622,secondtooth,4.15
43905,secondtooth,3.92
650,secondtooth,3.71
665,secondtooth,4.28
667,secondtooth,3.95
672,secondtooth,4.29
673,secondtooth,3.97
674,secondtooth,4.23
680,secondtooth,4.63
694,secondtooth,3.97
709,secondtooth,3.93
712,secondtooth,4.23
727,secondtooth,4.29
731,secondtooth,4.3
751,secondtooth,3.89
752,secondtooth,3.63
754,secondtooth,3.62
760,secondtooth,4.18
779,secondtooth,3.5
794,secondtooth,3.62
6108,secondtooth,4.03
808,secondtooth,4.38
175577,secondtooth,4.4
811,secondtooth,2.65
837,secondtooth,2.37
5428,secondtooth,3.85
17141,secondtooth,3.92
17112,secondtooth,4.64
1003,secondtooth,4.18
1005,secondtooth,4.06
1009,secondtooth,3.85
1010,secondtooth,4.12
1013,secondtooth,4.2
1054,secondtooth,4.61
1093,secondtooth,3.95
1094,secondtooth,3.67
1963,secondtooth,3.58
1117,secondtooth,3.95
1153,secondtooth,4.0
1157,secondtooth,3.95
1159,secondtooth,4.36
152542,secondtooth,4.03
1160,secondtooth,3.79
1161,secondtooth,3.88
1180,secondtooth,4.17
1212,secondtooth,3.49
1256,secondtooth,4.05
49789,secondtooth,4.5
1287,secondtooth,3.97
1320,secondtooth,1.22
45897,secondtooth,3.94
1331,secondtooth,3.19
1346,secondtooth,4.55
1351,secondtooth,3.39
1352,secondtooth,2.22
1361,secondtooth,3.78
1372,secondtooth,4.18
1696,secondtooth,4.29
1444,secondtooth,4.24
1445,secondtooth,4.01
1446,secondtooth,4.15
2010,secondtooth,4.07
3523,secondtooth,3.89
1917,secondtooth,4.33
57252,secondtooth,4.07
1587,secondtooth,4.17
59151,secondtooth,4.2
53886,secondtooth,3.81
1708,secondtooth,4.7
187317,secondtooth,3.88
38180,secondtooth,4.25
1745,secondtooth,4.05
1792,secondtooth,3.68
22505,secondtooth,4.1
48505,secondtooth,4.17
1879,secondtooth,3.63
1881,secondtooth,3.92
128500,secondtooth,4.26
1904,secondtooth,4.36
2296,secondtooth,3.05
1914,secondtooth,4.12
2729,secondtooth,3.65
1924,secondtooth,3.74
86621,secondtooth,4.16
1946,secondtooth,3.89
24071,secondtooth,3.75
144200,secondtooth,4.02
48385,secondtooth,4.06
148052,secondtooth,3.91
54904,secondtooth,4.15
17060,secondtooth,4.51
35036,secondtooth,4.29
14309,secondtooth,3.89
19960,secondtooth,4.53
